Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	rawp	BH
AT1G01590	-4.11870299588854	-2.52899477313876	-8.2786067832732	1.30558588758219e-05	0.000372637771137142	3.1115185798819	0.00155394685337384	0.0435729986462435
AT1G02405	-3.02055502209203	-3.62397070786059	-5.81443499742566	0.000217609176755067	0.00233733602174939	0.825019891371171	0.000796478140182355	0.0397964638909443
AT1G04180	-2.12603072973608	1.13424799992544	-8.1058858960429	1.55614380528723e-05	0.000420666371460667	3.58027869839624	0.0027569197767785	0.0489528460791559
AT1G05540	-2.74487614441562	0.429442740853431	-8.21065482351483	1.39846756137464e-05	0.000390892335878746	3.64186742240219	0.00198810823825335	0.0466712490619673
AT1G06080	-3.03004053511971	4.17326730940614	-19.0182176550397	8.3083596533401e-09	4.65512101472363e-06	10.9920201229965	0.000284240268350278	0.0344675491483895
AT1G06160	-4.14460985918646	0.696095742628362	-12.9564277582179	2.68586863903206e-07	3.27973028557934e-05	6.97993556368483	0.00033979846465737	0.0370044186859767
AT1G07050	-6.10571896043576	0.00136994133626089	-14.6017475001902	9.1888044297923e-08	1.79032381785983e-05	7.19803847150238	9.91014828435333e-05	0.0344675491483895
AT1G07550	-4.45144245649209	-2.90445219476233	-8.56470915270327	9.82224249157592e-06	0.000309476553557406	3.24089444533996	0.000587328979205992	0.0379367349731012
AT1G08860	-2.2337075576986	-2.17282637664384	-4.94625545382858	0.000704227822835718	0.00525372267492891	-0.0734800172931926	0.00192205330695661	0.0462370813453796
AT1G09180	-2.57282547186899	0.377461711341484	-7.38105557377513	3.35928224548502e-05	0.000695967638317921	2.82400341616016	0.001744589014955	0.0449472026212343
AT1G09240	-6.38469815272681	0.161677565681253	-14.379958248587	1.05477154269552e-07	1.86328908922306e-05	7.14514772740019	0.00169640013801065	0.0446387396792513
AT1G09623	-3.93578853543359	-3.16271172219398	-8.02829868750811	1.68542637212374e-05	0.000442620693840782	2.81520701515306	0.000186169092464938	0.0344675491483895
AT1G09930	-3.50075859614437	-3.39014326336421	-6.26812956567854	0.000122748361801774	0.00157303499583078	1.30313341902031	0.00215535006663492	0.0468903662279902
AT1G10340	-3.21688098171995	0.07618180278024	-9.1651630129902	5.53578946751762e-06	0.000220582480165837	4.41548345927435	0.00231853590284858	0.0474780250028453
AT1G10370	-2.87572389815824	3.72581123447282	-19.5602910946315	6.42142484696367e-09	4.25387288987108e-06	11.1992106584543	0.000286516218435784	0.0344675491483895
AT1G10640	-2.21834137198085	2.72519753455079	-12.6612076186148	3.29850752032055e-07	3.59686634870181e-05	7.36439096739453	0.00118558961193793	0.0412091000815381
AT1G10657	-2.78501849520553	1.31494202427088	-10.814914723573	1.32590672414135e-06	8.56923814056036e-05	5.91495604597146	0.00050752108164076	0.0379367349731012
AT1G11210	-2.36819782328865	3.40655213023949	-18.2508074516121	1.21121927536725e-08	5.94481342428979e-06	10.5889527177357	2.43233420937905e-05	0.0344675491483895
AT1G12100	-2.61146250300369	-1.81480001228577	-5.93637178304162	0.000186071796579935	0.00209097984129564	1.1250942815167	0.00257692967505374	0.0481753000043669
AT1G12610	-3.76439459361811	-3.25471970190205	-6.65741926172498	7.67059125358384e-05	0.00114730781857356	1.6840268614714	0.00208257079066909	0.0468210529869349
AT1G12845	-2.23400304506451	2.69172122513633	-9.02458650399399	6.31352359080058e-06	0.000235960152481007	4.38778108554807	0.00207232283608372	0.0467339663919543
AT1G14250	-4.31730634897223	3.28555145329592	-17.0892077965832	2.20747588008941e-08	8.35624226722987e-06	9.87905461062555	0.000135373915514103	0.0344675491483895
AT1G15125	-4.49073024456276	4.60246413114786	-17.5857040080627	1.70014589051934e-08	7.15086758840976e-06	10.2846734518072	0.00170724037355519	0.0447478832083236
AT1G16410	-3.74666799973436	4.74705826179713	-16.0590968773587	3.88549661793539e-08	1.14889551300592e-05	9.48284883147922	0.00175969080440508	0.0449472026212343
AT1G17380	-4.62389836525173	2.02278015475697	-16.8849092676817	2.46301779859598e-08	8.94041720920496e-06	9.28245045169901	0.000183936888915603	0.0344675491483895
AT1G17420	-3.50153700772518	2.77877426993351	-12.1976969718982	4.59476017370328e-07	4.41130272039093e-05	7.0304360430235	0.00082371405896331	0.0397964638909443
AT1G18300	-2.28327754566368	3.48052770706813	-15.0362335655514	7.05201917680262e-08	1.55691652984422e-05	8.89275967252249	0.00047315817786231	0.0375178889853551
